"K008552"	(676.2830506,0.0005559773189)
"K003229"	(697.4938327,0.000212283086)
"K015594"	(650.5038863,0.0002019176142)
"A000446"	(2623.584592,0.001751313069)
"A004042"	(2736.932887,0.001882607456)
"A004450"	(2736.932892,0.001854668418)
"A005311"	(2736.9329,0.001843266599)
"A004382"	(-2677.866342,-0.001880978154)
"A005824"	(-2677.866353,-0.001900719379)
"A014853"	(-2677.866339,-0.001874027547)
"A007848"	(-2677.866343,-0.001858579716)
"A011590"	(-2687.727146,-0.00188467776)
"A014252"	(-2677.866341,-0.001884974991)
"A006773"	(2831.292922,0.001882819893)
"A009522"	(2831.29295,0.001873907026)
"A010043"	(2831.292913,0.001871127013)
"A002125"	(2784.94518,0.001750332175)
"K003270"	(412.4077284,4.554487643e-05)
"K010861"	(487.2731479,7.53879383e-05)
"K014981"	(618.8249321,0.0002065273776)
"A013488"	(2391.68658,0.001780059255)
"A004384"	(2558.180294,0.001764240781)
"K009182"	(518.791655,0.0002313377237)
"K005225"	(590.0506074,0.0002442760811)
"A001057"	(-2168.427162,-0.001526864692)
"A013410"	(-2168.427155,-0.001510806835)
"A007075"	(-1640.161617,-0.001214489787)
"A013274"	(-1640.161609,-0.001228411232)
"A005866"	(-1452.049472,-0.001032160486)
"A004066"	(-1403.122645,-0.0009793141925)
"A015842"	(-1582.607492,-0.001206250399)
"A013405"	(-1403.122627,-0.00100152453)
"A000746"	(-1259.490604,-0.0007051974106)
"A013132"	(-1259.491295,-0.0006496973785)
"A002849"	(-1749.115297,-0.0008862706899)
"K009520"	(-363.1952828,-2.168208467e-06)
"A001017"	(-1185.417968,-0.000593425701)
"A002065"	(-1161.791026,-0.0005855590881)
"A014617"	(-1067.848187,-0.000523619607)
"A007505"	(-1095.257559,-0.0005501780319)
"A008906"	(-1095.257552,-0.0005475393601)
"A016206"	(-1090.542963,-0.0005888737913)
"K010975"	(-358.0437681,-8.414274163e-05)
"A000444"	(-1734.174185,-0.000830070343)
"A011159"	(-1380.674951,-0.0007094331889)
"A007025"	(-879.5695815,-0.0004539923854)
"A001097"	(-773.9677373,-0.0004012027751)
"A007169"	(-1202.616541,-0.0006170705224)
"A000528"	(-1145.061893,-0.0004981348565)
"A006338"	(-1145.062721,-0.0008367354226)
"A010679"	(-1220.5039,-0.0008687872221)
"A010958"	(-1246.902175,-0.0008634671758)
"A006392"	(-1298.087812,-0.0008477823174)
"K011935"	(-337.4510927,-0.0002762918575)
"K002451"	(-761.702609,-0.0004157633428)
"K003786"	(-702.2879347,-0.0003783978631)
"K002509"	(-702.2879039,-0.0003650098964)
"A004714"	(-770.124152,-0.0005935559405)
"A008146"	(-740.6194471,-0.0005691401734)
"A001628"	(-1785.534901,-0.001319481159)
"A008896"	(-1032.590628,-0.0006968991556)
"A008108"	(-734.90706,-0.0005446458727)
"A012292"	(-1885.615414,-0.001282725442)
"A008264"	(-1857.668824,-0.001255503227)
"A014339"	(-442.7542699,-0.0004912024631)
"A011053"	(-1836.212403,-0.001282545668)
"A011479"	(-1836.2124,-0.001290961665)
"A007195"	(-1885.615762,-0.001318879996)
"A002813"	(-1843.022239,-0.00131790267)
"A011343"	(-1770.777727,-0.001191526947)
