"K008552"	(2342.631376,0.000404179067)
"K003229"	(2339.682073,0.00152575384)
"K015594"	(2292.495346,0.001269955881)
"A000446"	(3113.502701,0.001840647598)
"A004042"	(3177.917553,0.001892905527)
"A004450"	(3177.917549,0.001894892111)
"A005311"	(3177.917552,0.001897260391)
"A004382"	(2867.687979,0.001711507574)
"A005824"	(2867.687984,0.001712465554)
"A014853"	(2867.687981,0.001709633117)
"A007848"	(2867.687982,0.001710433647)
"A011590"	(2907.568507,0.001732300093)
"A014252"	(2867.68798,0.001711672358)
"A006773"	(3043.425588,0.001815573362)
"A009522"	(3043.425587,0.001817921011)
"A010043"	(3043.425588,0.001816141003)
"A002125"	(3019.134829,0.001799540941)
"K003270"	(2118.440774,0.001446328754)
"K010861"	(2075.360643,0.001417499222)
"K014981"	(2475.68623,0.001688315136)
"A013488"	(2779.738161,0.001897710062)
"A004384"	(3055.263826,0.002084990654)
"K009182"	(2236.485721,0.001527506728)
"K005225"	(2795.727223,0.001909655741)
"A001057"	(2861.082639,0.001952984985)
"A013410"	(2861.082641,0.001954035439)
"A007075"	(1427.478307,0.0009749781951)
"A013274"	(1427.478306,0.0009748130652)
"A005866"	(2094.968459,0.001430482866)
"A004066"	(2038.913874,0.001393162619)
"A015842"	(1429.706295,0.0009768173746)
"A013405"	(2038.913874,0.001391116744)
"A000746"	(1980.094006,0.001350269778)
"A013132"	(1980.095714,0.0004821293299)
"A002849"	(3091.94664,0.0007534553145)
"K009520"	(2892.426757,0.0007060778423)
"A001017"	(1801.805046,0.0004403527187)
"A002065"	(1805.207579,0.0004403125176)
"A014617"	(1802.32819,0.0004398587511)
"A007505"	(1803.781796,0.000440521459)
"A008906"	(1803.781799,0.0004406347054)
"A016206"	(997.217869,0.0002432729705)
"K010975"	(2876.659375,0.0007011425308)
"A000444"	(2159.786442,0.0005260931334)
"A011159"	(2325.951603,0.0005692003028)
"A007025"	(869.6478372,0.0002143537922)
"A001097"	(739.6800915,0.0001814387835)
"A007169"	(2417.40956,0.0005930558711)
"A000528"	(2423.133015,0.0005911481902)
"A006338"	(2423.134327,0.00164703546)
"A010679"	(2513.864295,0.001708047731)
"A010958"	(2460.399565,0.001670429646)
"A006392"	(2650.992925,0.001805048224)
"K011935"	(2489.725011,0.00169193726)
"K002451"	(2780.291054,0.00188831127)
"K003786"	(2759.138004,0.001872192365)
"K002509"	(2759.138006,0.001874151409)
"A004714"	(1949.020016,0.001324330792)
"A008146"	(1956.8087,0.001331780189)
"A001628"	(2096.824725,0.00142521977)
"A008896"	(1622.956786,0.001103024806)
"A008108"	(1526.066764,0.00103723984)
"A012292"	(1850.898692,0.001256546593)
"A008264"	(1840.436599,0.001250802686)
"A014339"	(737.1894565,0.0005005522723)
"A011053"	(1857.589013,0.001351559577)
"A011479"	(1857.589011,0.001351765557)
"A007195"	(1850.899363,0.001347041651)
"A002813"	(1924.843895,0.001400387314)
"A011343"	(2139.845574,0.001557080365)
"A010131"	(2139.845573,0.001557353437)
"A000540"	(2139.845572,0.001556458645)
"A002615"	(2142.08019,0.001559148448)
"A003819"	(1632.589413,0.001187450487)
"K000038"	(2626.883449,0.001907759784)
"K013859"	(2345.730977,0.00170343244)
"K007991"	(2626.883451,0.001908043116)
"K011745"	(2572.56104,0.001872446039)
"K009350"	(2598.499655,0.001892145862)
"K009858"	(2602.204861,0.001891285129)
"K013640"	(2684.144255,0.00195304174)
"K005549"	(1710.969091,0.002947751226)
"A001623"	(1284.288346,0.002213096575)
"K013487"	(2281.137304,0.003932138138)
"A000565"	(1407.067301,0.002426072221)
"A007998"	(1251.581841,0.002157882035)
"A007876"	(2367.889157,0.004080413473)
"A007666"	(2376.726914,0.004097943141)
"A005660"	(596.6646693,0.001027798094)
"G010864"	(1144.108621,0.001971360805)
"A002653"	(2393.864266,0.004126921725)
"A008825"	(692.1704615,0.001192478881)
"A003563"	(692.1704644,0.001192503491)
"A001223"	(692.1704625,0.001193451938)
"A008643"	(692.1704642,0.001192505647)
"A006539"	(692.1704637,0.001193285178)
"A001154"	(692.1704628,0.001192264434)
"A014916"	(692.1707296,0.0002349234825)
"A001062"	(692.1707309,0.0002361406652)
"K000957"	(2413.424186,0.0008173475288)
"A013988"	(596.8153288,0.000203197611)
"A014726"	(2331.239912,0.0007893050334)
"A012229"	(2804.859306,0.000955978203)
"A008861"	(2331.239912,0.000788865933)
"A008048"	(2331.239912,0.0007895976134)
"A004242"	(794.7258524,0.0002704665312)
"A006413"	(711.4743741,0.0002404308877)
"A011978"	(758.6640965,0.0002722873329)
"A014310"	(711.4743757,0.0002406259671)
"A008000"	(1388.676558,0.0004686231249)
"O012362"	(1922.826791,0.0006513295092)
"A008078"	(1406.257932,0.0004769033342)
"A010278"	(711.4743756,0.00024141447)
"A013518"	(1388.678208,0.001143136889)
"K005062"	(1841.64379,0.001517925198)
"K013135"	(2909.213115,0.002395104391)
"K013396"	(1942.642573,0.001598114215)
"A003343"	(1319.719762,0.001086997923)
"G004489"	(700.9062764,0.0005769689133)
"G000891"	(720.8175746,0.0005921381519)
"G002468"	(720.8175742,0.0005933959545)
"G013441"	(720.8175748,0.0005917945066)
"K002646"	(2453.026003,0.002017340535)
"G007082"	(700.9062775,0.000576144139)
"G015011"	(700.9062764,0.0005776562182)
"K015506"	(611.7832758,0.0005035080308)
"K013127"	(2454.16648,0.002020201266)
"K014224"	(1695.913265,0.001395853745)
"A014272"	(2864.298939,0.0023582732)
"K001443"	(1479.518305,0.00127212861)
"A013254"	(523.0880633,0.0004492900898)
"A003570"	(619.229979,0.0005330264601)
"K009045"	(1638.301232,0.001406825714)
"K014143"	(1682.187499,0.001443936365)
"K009454"	(2697.03967,0.002320175393)
"K003020"	(2586.179125,0.002221688721)
"K003879"	(1711.605665,0.00147065322)
"A013509"	(758.43089,0.0006521039629)
"K009575"	(2495.838053,0.002144663003)
"A005480"	(795.6163919,0.0006836651778)
"O008855"	(1787.989392,0.001537235969)
"K013182"	(2378.451505,0.002043704199)
"A014253"	(463.3173581,0.0003988322159)
"G002006"	(519.7382258,0.0004468252552)
"A015371"	(1569.195278,0.001346903855)
"G002339"	(540.354301,0.0004283431007)
"G004630"	(519.7371092,0.0004113046617)
"A010695"	(381.9737156,0.0003020668022)
"A013029"	(504.4108493,0.0003981061958)
"A012074"	(160.9946133,0.0001271214801)
"A003900"	(160.9946129,0.0001271731432)
"G012685"	(616.081143,0.0004874486699)
"A005456"	(1875.123737,0.001483282189)
"K011618"	(459.9649863,0.0003647422516)
"A006980"	(1766.776518,0.00139680099)
"A008178"	(474.3071208,0.0003756187891)
"A009947"	(312.8856123,0.0002477826217)
"A006313"	(1831.269237,0.001451938987)
"A005797"	(186.893981,0.0001483602554)
"G015488"	(855.7544666,0.0006779808981)
"G004038"	(855.754466,0.0006770295902)
"G011524"	(855.7549647,0.0006804298249)
"G006551"	(855.7549653,0.0006803913907)
"K005787"	(796.8169949,0.0006334216624)
"G006779"	(855.7549642,0.0006808310268)
"G014415"	(430.5051873,0.0003429324587)
"K000701"	(2289.931769,0.001821397718)
"G011770"	(430.5051864,0.0003420206892)
"G000505"	(430.5051874,0.0003429365684)
"G015266"	(430.5051867,0.0003426695589)
"G011310"	(1866.353708,0.001480096065)
"G004850"	(430.5051869,0.0003418482321)
"G004025"	(1866.353711,0.001484531181)
"G004394"	(430.5051867,0.0003421779456)
"G010135"	(1866.353711,0.001483592658)
"G003138"	(1866.353709,0.001482212033)
"G008949"	(1857.211823,0.001476559976)
"G005467"	(1798.55722,0.001340274781)
"G004279"	(444.508572,0.0003307814399)
"K008502"	(661.0338688,0.0004912447955)
"A002462"	(659.3630318,0.0004870581843)
"A001783"	(1646.097642,0.001226589337)
"K003241"	(1744.113887,0.001297710296)
"K013359"	(1912.249549,0.001423180988)
"K002518"	(2063.66407,0.001534443505)
"G010280"	(713.3198555,0.000530547236)
"G014524"	(474.8745674,0.0003532940876)
"A009341"	(730.5662177,0.0005444645104)
"G002186"	(713.319856,0.0005310240505)
"A005948"	(108.08429,8.028753148e-05)
"G014383"	(447.4353696,0.000332797471)
"K008736"	(2819.086837,0.002100881216)
"A008962"	(155.4021209,0.000116817357)
"G000519"	(1665.925101,0.001848984036)
"A000759"	(108.0842708,0.00012024118)
"G004010"	(474.8744813,0.0005274808218)
"G004788"	(474.8744818,0.0005272694255)
"G016075"	(426.7502525,0.0004739720212)
"A004418"	(474.3079136,0.0005268587014)
"K008499"	(618.3293998,0.0006870384003)
"G014943"	(643.08405,0.0007138741886)
"K002558"	(1431.513141,0.001588971187)
"K010584"	(1399.266933,0.001553034622)
"A000305"	(1424.366918,0.001579845234)
"A010119"	(155.4020932,0.000172886812)
"K012885"	(2155.000634,0.002393117196)
"A009543"	(155.4020932,0.0001723821825)
"A004127"	(155.4020934,0.0001724574941)
"K016223"	(1819.464935,0.002018345757)
"K015250"	(1322.734151,0.001923607381)
"G008445"	(2823.317283,0.004104518642)
"G010778"	(2874.150163,0.004176646023)
"K009423"	(313.2614624,0.0004550797621)
"K013050"	(1807.14263,0.002629814559)
"G009724"	(2905.098859,0.004222973977)
"K013465"	(1423.092242,0.0020683537)
"A003311"	(157.9915862,0.0002295413469)
"A015208"	(157.9915869,0.0002293653292)
"A015922"	(157.9915863,0.0002295217735)
"K011131"	(1301.130125,0.001890652221)
"A008699"	(105.6181057,0.0001533319699)
"G015951"	(883.1588732,0.001282898929)
"A015455"	(157.991587,0.0002303017871)
"A001690"	(157.9915871,0.0002304873089)
"O011420"	(1287.153827,0.001870784887)
"G007287"	(844.4972852,-0.0002877979207)
"G012790"	(884.0779192,-0.000303293845)
"G014793"	(2068.375151,-0.0007058942578)
"G015400"	(2765.363495,-0.0009434004329)
"G008085"	(443.709953,-0.0001513511633)
"G007207"	(307.8773551,-0.0001056016714)
"G004608"	(950.3702775,-0.00032474664)
"G011047"	(934.0539954,-0.00032023294)
"G006820"	(699.2880255,-0.0002388476912)
"G014659"	(2727.079991,-0.0009334503247)
"G014316"	(307.877356,-0.0001056001155)
"A006608"	(2463.658785,-0.0008425173185)
"K011798"	(452.2862261,-0.0001542415201)
"G010472"	(1068.29033,-0.0003651959868)
"P010444"	(1039.95849,-0.0003553458856)
"A005036"	(159.8009386,-5.490008849e-05)
"G014753"	(2835.665425,0.001793415303)
"A001791"	(935.2707431,0.0005908514538)
"G011937"	(394.4161666,0.0002487378901)
"A011975"	(2463.663655,0.001555672234)
"K015931"	(235.814479,0.0001488896098)
"A010294"	(234.8561595,0.0001483933987)
"G014593"	(404.6007322,0.0002554847986)
"G008134"	(2544.615355,0.0016065566)
"G006268"	(404.6007324,0.0002557485361)
"G009504"	(378.6331473,0.0002388323225)
"G015975"	(132.5097485,8.28604736e-05)
"G008669"	(305.8466612,0.0001933442327)
"A015654"	(302.9987103,0.0001913419142)
"K005492"	(454.8779611,0.0002872691931)
